DateTime,Players,Twitch Viewers,Events,Prize
14/07/2014,777538,,,
15/07/2014,736209,,,
16/07/2014,726226,,,
17/07/2014,813808,,,
18/07/2014,861117,,The International,"10,923,977"
19/07/2014,833276,,The International,"10,923,977"
20/07/2014,861604,,The International,"10,923,977"
21/07/2014,789383,,The International,"10,923,977"
22/07/2014,771097,,,
23/07/2014,759592,,,
24/07/2014,765578,,,
25/07/2014,770144,,,
26/07/2014,776630,,,
27/07/2014,755602,,,
28/07/2014,734950,,,
29/07/2014,728499,,,
30/07/2014,482992,,,
31/07/2014,733375,,,
01/08/2014,774319,,,
02/08/2014,755965,,,
03/08/2014,729972,,,
04/08/2014,729111,,,
05/08/2014,444221,,,
06/08/2014,717892,,,
07/08/2014,727835,,,
08/08/2014,743085,,,
09/08/2014,753337,,,
10/08/2014,493227,,,
11/08/2014,735456,,,
12/08/2014,724333,,,
13/08/2014,723740,,,
14/08/2014,709943,,,
15/08/2014,742036,,,
